"title","company","city","state","country","job_type","modality","student_friendly","requirements_summary","source","source_url","posted_at","collected_date","query_term","query_loc","query_site"
"Practicante Desarrollo de Software","International Motors","Ciudad Apodaca Centro","Nle","México","nan","On-site",True,"¡Buscamos nuestro próximo Practicante de Desarrollo de Software!; International Motors; estamos en busca de un/a; Intern de Desarrollo de Software","indeed","https://mx.indeed.com/viewjob?jk=85ec6bb1eafba77b","2025-10-30","2025-11-06","intern","Monterrey, Nuevo Leon, Mexico","indeed"
"Practicante Administrativo Contable","Jobfit","Monterrey","Nle","México","nan","On-site",True,"Practicante para Liberación de Prácticas Profesionales en Administración \; Contabilidad; Estudiantes de Carrera en Administración, Contabilidad, Finanzas o fín interesados en la liberación de prácticas profesi; Control de registro de Facturas","indeed","https://mx.indeed.com/viewjob?jk=7821b227c414ffd9","2025-11-06","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"Logistics Coordinator","Johnson Controls","Apodaca","Nle","México","fulltime","On-site",True,"Johnson Controls; is a global leader in smart, healthy, and sustainable buildings. With operations in over 150 countries, we are committed; Logistics Coordinator.; What will you do?","indeed","https://mx.indeed.com/viewjob?jk=e7e0fb5c1121e86d","2025-10-28","2025-11-06","intern","Monterrey, Nuevo Leon, Mexico","indeed"
"Product Management Intern","Kinedu","Monterrey","Nle","México","nan","Remote",True,"What you will do; As a Product Management Intern you will support the end\; end lifecycle of product requirements, from definition all the way to launch. This is a cross functional role that requi; Your responsibilities:","indeed","https://mx.indeed.com/viewjob?jk=cffc49c8b7a171ec","2025-10-30","2025-11-06","intern","Saltillo, Coahuila, Mexico","indeed"
"Free Trade Agreements Intern","MAHLE","Monterrey","Nle","México","fulltime","On-site",True,"** * Student of International Business, Foreign Trade, Customs, or related field. * Bilingual (English/Spanish). * Good communication and organizational skills. * Self\-motivated, customer\-oriented and detail\-oriented. * PowerPoint and excel knowledge. **Our Offer:** We will provide a collaborati…","indeed","https://mx.indeed.com/viewjob?jk=027d53b6f05ae72f","2025-10-21","2025-11-06","internship","Saltillo, Coahuila, Mexico","indeed"
"JEFE DE TALLER","MYS CONSULTORES","Apodaca","Nle","México","fulltime","On-site",False,"JEFE DE TALLER CNC; ======================; Ubicación:; Apodaca por plaza Nave 01","indeed","https://mx.indeed.com/viewjob?jk=b1c735baf3873b1c","2025-11-06","2025-11-06","practicas","Monterrey, Nuevo Leon, Mexico","indeed"
"Field Service Engineer","Makino, Inc","Monterrey","Nle","México","nan","On-site",True,"cutting and machining technology. As a leader in the advanced manufacturing machine tool technology, Makino enables its; The Opportunity; The Field Service Engineer is a member of the Customer Support Department and is responsible for the installation, maint; Essential Duties","indeed","https://mx.indeed.com/viewjob?jk=d43fbf28baa8a726","2025-11-03","2025-11-06","internship","Saltillo, Coahuila, Mexico","indeed"
"Field Service Engineer","Makino, Inc","Saltillo","Coa","México","nan","On-site",True,"cutting and machining technology. As a leader in the advanced manufacturing machine tool technology, Makino enables its; The Opportunity; The Field Service Engineer is a member of the Customer Support Department and is responsible for the installation, maint; Essential Duties","indeed","https://mx.indeed.com/viewjob?jk=9f32b915ea563fec","2025-10-27","2025-11-06","internship","Saltillo, Coahuila, Mexico","indeed"
"Analista Senior de Mejora Continua de Procesos - Mercado Envíos","Mercado Livre","Monterrey","Nle","México","nan","On-site",True,"** * Ser Ing","indeed","https://mx.indeed.com/viewjob?jk=c78d323ea7f474b1","2025-11-06","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"Gerencia de Proyectos para Ingeniería y ejecución- Mercado envíos","Mercado Livre","Monterrey","Nle","México","nan","On-site",True,"Tenemos un desafío para quienes:; Vibran energía emprendedora: se mueven por la curiosidad, nunca se rinden y se enfocan en superar sus propios límites.; Dan el máximo porque les gusta trabajar con compromiso y dedicación.; Viven los cambios como oportunidades y aprenden de sus errores.","indeed","https://mx.indeed.com/viewjob?jk=0a6e7c69ca71e0d6","2025-11-06","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"Digital & Manufacturing Intern","NEMAK","Monterrey","Nle","México","nan","On-site",False,"To standardize internal processes through digitalization, ensuring organized documentation, 3D conceptual layouts, and c; time simulations. This will enable consistent deliverables, reduced lead times, and improved operational efficiency, whi; value projects.; Main Responsibilities","indeed","https://mx.indeed.com/viewjob?jk=d247466044198e56","2025-10-23","2025-11-06","intern","Saltillo, Coahuila, Mexico","indeed"
"Practicante de AMBIENTE SEGURIDAD E HIEGIENE EHS","PASTAS MOLISABA","San Pedro Garza García","Nle","México","fulltime","On-site",False,"HORARIO DE 8AM A 5PM LUNES A VIERNES; SABADOS 8:30AM HASTA LA 1:30PM; APOYO EN ADMINSTRACION DE NORMAS SEGURIDAD Y AMBIENTE; PROCESOS DE CAPACITACION","indeed","https://mx.indeed.com/viewjob?jk=236a33235a328354","2025-11-04","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"Practicante de Facilities","POLARIS MONTERREY","American Industries Apodaca","Nle","México","fulltime","On-site",False,"Requisitos del puesto; Ing. Civcil, Arquitectura o Afín.; Disponibilidad de Horario. 7:00am a 03:00pm; Manejo de paquete de Office (Excel, Word, Power Point).","indeed","https://mx.indeed.com/viewjob?jk=3c148297fc6b91c9","2025-11-05","2025-11-06","practicante","Monterrey, Nuevo Leon, Mexico","indeed"
"HR General Coordinator","Parker Hannifin","Apodaca","Nle","México","fulltime","On-site",True,"Org Marketing Statement; Parker Hannifin can be found on and around everything that moves. The company employs approximately 58,000 people in 49; engineered solutions for a wide variety of mobile, industrial and aerospace markets. Parker’s focus on solving some of t; Position Summary","indeed","https://mx.indeed.com/viewjob?jk=956637efd6f2da10","2025-10-07","2025-11-06","internship","Monterrey, Nuevo Leon, Mexico","indeed"
"Inside Sales Executive","Placidway","Monterrey","Nle","México","fulltime","Remote",True,"Inside Sales Representative \; Account Coordinator; to manage and grow our global network of healthcare providers. This is a key role in helping providers enhance their per; Key Responsibilities:","indeed","https://mx.indeed.com/viewjob?jk=8149df41d6af8ccb","2025-10-21","2025-11-06","internship","Saltillo, Coahuila, Mexico","indeed"
"Practicante de almacén","Premier Tech","Monterrey Business Park","Nle","México","fulltime","On-site",True,"Apoyo en el area de almacén

\; Entradas y Salidas

\; Atencion a proveedores

\; Manejo de Sistema

\","indeed","https://mx.indeed.com/viewjob?jk=53503471d27b5d05","2025-11-04","2025-11-06","practicante","Monterrey, Nuevo Leon, Mexico","indeed"
"Practicante de Beneficios - Vigente al 05-DIC-2025","RED AMBIENTAL","Monterrey","Nle","México","nan","On-site",True,"Estudiante ACTIVO a partir de 6to semestre de carreras como: Lic","indeed","https://mx.indeed.com/viewjob?jk=6f92b153572a2854","2025-11-05","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"Intern de análisis de datos","Reclutamiento Melani González","San Pedro Garza García","Nle","México","parttime","On-site",True,"Objetivo General; Generar análisis descriptivo y predictivo para impulsar el crecimiento del negocio de Consumer Lines.; Principales funciones y responsabilidades; Desarrollar modelos predictivos utilizando técnicas de estadística y machine learning.","indeed","https://mx.indeed.com/viewjob?jk=51c947a226081e93","2025-11-03","2025-11-06","intern","Saltillo, Coahuila, Mexico","indeed"
"Practicante de Beneficios","Redcolección SA de CV","Monterrey","Nle","México","parttime","On-site",True,"** Estudiante ACTIVO a partir de 6to semestre de carreras como: Lic","indeed","https://mx.indeed.com/viewjob?jk=9f923532eca4621b","2025-11-05","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"Resource and Staffing Associate - Kalypso","Rockwell Automation","Monterrey","Nle","México","fulltime","Remote",True,"* 4\-year degree required . * 2\-5 years of relevant experience. * All applicants applying for job openings based in Mexico must be authorized to work in Mexico","indeed","https://mx.indeed.com/viewjob?jk=cfc11c9563f5ad4d","2025-10-22","2025-11-06","intern","Saltillo, Coahuila, Mexico","indeed"
