"title","company","city","state","country","job_type","modality","student_friendly","requirements_summary","source","source_url","posted_at","collected_date","query_term","query_loc","query_site"
"On-Site Technical Support L1 - Satillo Van","Stefanini","Saltillo","Coa","México","nan","Remote",True,"!

  

En Stefanini somos más de 30\.000 genios, conectados desde 41 países, haciendo lo que les apasiona y co\; creando un futuro mejor.; Responsabilidades y atribuciones; Para enfrentar mejor estos desafíos, necesitas:","indeed","https://mx.indeed.com/viewjob?jk=88a5e30b236b3705","2025-11-06","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"Operations Engineer Jr. 1","TENOVA INC","Monterrey","Nle","México","nan","On-site",True,"known TAKRAF and DELKOR brands – in the mining industries. Tenova leverages a workforce of over 2,200 forward\; thinking professionals located in 19 countries across 5 continents, who design technologies and develop services that he; Operations Engineer Jr.; (Ref.TN/PD\","indeed","https://mx.indeed.com/viewjob?jk=b586e006cd7650c6","2025-10-07","2025-11-06","internship","Saltillo, Coahuila, Mexico","indeed"
"soldador de microalambre","TLTERMINALS","Monterrey Centro","Nle","México","fulltime","On-site",True,"1\.Experiencia comprobada en soldadura con sistemas de medición avanzados. 2\.Capacidad demostrada de interpretar dibujos y realizar ensambles complejos. 3\.Conocimientos sólidos en la interpretación de WPS (Procedimientos Escritos de Soldadura). 4\.Experiencia práctica en soldadura Flux CORE","indeed","https://mx.indeed.com/viewjob?jk=47b3b55a8c1929a1","2025-11-05","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"Analista de Calidad","Talent-One","Monterrey","Nle","México","fulltime","On-site",True,"\-Estudios en Ingeniería en Industrias Alimentarias, Química o Industrial (Título indispensable) \-Manejo del idioma inglés avanzado (Indispensable) \-Experiencia en sistemas de Gestión de Calidad, BPM, Auditorías, Gestión de riesgos, Alérgenos. \-Experiencia de mínimo 6 meses a 1 año en área de ca…","indeed","https://mx.indeed.com/viewjob?jk=e8e9fb1fffeafb5e","2025-11-06","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"Auxiliar Contable","TalentoSOS SA DE CV","San Pedro Garza García","Nle","México","fulltime","On-site",True,"** de 20 a 35 Egresado de Contabilidad o carreras afines","indeed","https://mx.indeed.com/viewjob?jk=340ca3cedde98d03","2025-11-06","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"Ingeniero procesos PTAR","Teiter Construcciones Electromecanicas","San Pedro Garza García","Nle","México","fulltime","On-site",False,"Ingeniero de Procesos – Plantas de Tratamiento de Aguas Residuales (PTAR); : Ingeniería Ambiental / Ingeniería Sanitaria / Procesos; : Ingeniería Química, Ambiental o Sanitaria; Experiencia","indeed","https://mx.indeed.com/viewjob?jk=61fa19269c42da80","2025-11-06","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"Finance Intern PM Shift","Unilink Transportation","San Pedro Garza García","Nle","México","parttime","On-site",True,"DESCRIPTION; We’re looking for a Data Analytics Intern to support our pricing and analytics team in organizing, cleaning, and prepari; on experience in data analytics, transportation pricing, and predictive modeling within a fast\; paced freight brokerage environment.

You’ll work closely with expe…","indeed","https://mx.indeed.com/viewjob?jk=33336429b04a1fe5","2025-11-03","2025-11-06","internship","Saltillo, Coahuila, Mexico","indeed"
"Logistics Intern","Unilink Transportation","San Pedro Garza García","Nle","México","parttime","On-site",True,"DESCRIPTION; The Operations Intern is in charge of having communication with the shippers and/or receivers in order to create appoint; Communicate with shipper or receiver to create appts, mainly by email or portal; Weekly delivery of invoices to customer facility","indeed","https://mx.indeed.com/viewjob?jk=b9aa7ae59776871b","2025-11-03","2025-11-06","intern","Saltillo, Coahuila, Mexico","indeed"
"PRACTICANTE DE RECURSOS HUMANOS (SIN EXPERIENCIA)","Veertien","Monterrey Centro","Nle","México","parttime","On-site",True,"$8,000\.00 al mes

Horas previstas: 35 por semana

Lugar de trabajo: Empleo presencial","indeed","https://mx.indeed.com/viewjob?jk=d6bd9d46407ebb3a","2025-11-05","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"Practicante Abastecimientos","Villacero","Monterrey","Nle","México","fulltime","On-site",False,"* Cursando licenciatura en negocios internacionales, relaciones internacionales, ingeniería, etc. * 7mo semestre en adelante * Experiencia no necesaria Funciones: * Realizar OC, negociación con proveedores * Contacto con proveedores para seguimiento de entregas * Expeditar recepción de materiales *…","indeed","https://mx.indeed.com/viewjob?jk=21f9c5e560962642","2025-11-06","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"Manufacturing Engineering Systems Intern","Wabtec","Moderno Apodaca","Nle","México","fulltime","On-site",True,"Who will you be working with?; At Wabtec Corporation, we move and improve the world. We are a global technology leader and supplier of equipment, servi; How will you make a difference?; Working as an EMS Engineer, you will play a key role in the implementation of the EMS System. You will work close…","indeed","https://mx.indeed.com/viewjob?jk=545b25bd5413c71b","2025-10-15","2025-11-06","internship","Monterrey, Nuevo Leon, Mexico","indeed"
"PRACTICANTE DE INGENIERÍA","melter s.a. de c.v.","Apodaca","Nle","México","parttime","On-site",True,"Intermedio.  
¡Y muchas ganas de aprender y desarrollarte en nuestra empresa!

Principales funciones:  
\; Apoyo en control de documentos

\; Elaboración de croquis de ingeniería

\; Solicitud de materiales para fabricación

\","indeed","https://mx.indeed.com/viewjob?jk=53af77fd19816212","2025-11-05","2025-11-06","practicante","Monterrey, Nuevo Leon, Mexico","indeed"
"Mechanical Commissioning Engineer Analyst","nan","Guadalupe","Nle","México","fulltime","On-site",False,"** ============================= **This is What you Will Do in This Role:** * Review \& report feedback of site readiness Audits, Drawing Sets Commissioning Checkbook * Review Programming Tools * Attend meetings before travel with site lead/project manager. * Review Commissioning plan and Schedule.…","indeed","https://mx.indeed.com/viewjob?jk=7df18019ef2af4f3","2025-10-30","2025-11-06","internship","Monterrey, Nuevo Leon, Mexico","indeed"
"Mechanical Commissioning Engineer Analyst","nan","Guadalupe","Nle","México","fulltime","On-site",False,"** ============================= **This is What you Will Do in This Role:** * Review \& report feedback of site readiness Audits, Drawing Sets Commissioning Checkbook * Review Programming Tools * Attend meetings before travel with site lead/project manager. * Review Commissioning plan and Schedule.…","indeed","https://mx.indeed.com/viewjob?jk=272d00a6c32b4ee2","2025-10-19","2025-11-06","internship","Monterrey, Nuevo Leon, Mexico","indeed"
